value,total_count
Anthropogenic terrestrial biome [ENVO:01000219],899
food,898
Epi-/Mesopelagic,897
moss,897
temperate woodland biome [ENVO:01000221],897
primary forest,897
small intestine,896
Tick sample,896
coastal biome,896
Human Stool,896
Nasal cavity,895
ENVO:01000156,894
ENVO:00005750,894
BAL,894
NAT,893
flood plain,893
Strawberry_plant_soil,892
pollen,891
active layer,891
microbiota,891
Leaf surface,889
Open water,886
marine hadal zone (ENVO:01000028),884
upland soil,884
biological product,883
Hydrothermal vent,883
ENVO_02000059,882
glacier,882
agricultural ecosystem[ENVO:00000077],881
ENVO_01001305,881
Joshua Tree National Park,880
Chicken,879
subgingival,879
agricultural environmental material,878
ENVO_00000428,877
estuarine water [ENVO:01000301]|estuarine open water surface layer [ENVO:01001315]|estuarine open water upper water column [ENVO:01001316],877
Kulunda Steppe,876
Sea,876
ENVO:01000248,875
Mus musculus Stool,873
Amphibian microbiome,873
Salamander microbiome,873
Human sputum,872
Lake/River/Ocean,870
"aquatic, marine, benthic, coastal",870
limestone aquifers,868
air biome,868
Saline lake sediment,868
Nasal swab,866
Host- gut,866
Rhizoplane,865
smokeless tobacco,864
H2-producing bioreactor metagenome,864
estuarine water|estuarine mud,863
upper soil,863
ENVO_01001792,862
temperate coniferous forest,860
human milk biome,859
forest soil [ENVO:00002261],859
Alpine,859
Mid-vaginal swab samples,859
agricultural land,858
ENVO:00000303,858
intestinal content,858
drinking water,858
sediments,856
Shrubland,854
fecal_microbiome,854
ENVO_01001033:digestive tract environment,854
mice,853
Recirculating aquaculture system,853
oil production,852
mice fecal,851
Arabidopsis Gnotopot SynCom reconstitution experiment,851
Homo Sapiens,851
air [ENVO:00002005],851
1000060,850
1000686,850
Bog Forest,850
cotton strips,849
Surface water,849
tobacco,848
limestone [ENVO:00002053],848
Brachypodium rhizosphere grown in soil,846
Laurentian Great Lakes,846
marine macroalgae,845
Cultured field,844
ENVO:01001831,843
large river biome [ENVO_00000887],842
anaerobic sludge [ENVO:00002129],842
endosphere,841
Marine water,841
trap nests,839
Lab microcosm,838
Temperate Forest Biome,837
freshwater river biome,836
Nasopharyngeal aspirate,836
seawater sample,835
Urban,833
ENVO:01000999,833
forest soil (ENVO_00002261),832
intestinal microbiome,832
reproductive structure,832
Scots pine forest,831
Wastewater Treatment Plant,831
anaerobic digester,830
animal manure,829
Soda lake sediment,829
Organic material (fecal),828
Â Organic Feature,828
biological waste material [ENVO:01000373],828
activated sludge| wastewater treatment plant,827
hot spring sediment,827
mice gut,826
temperate broadleaf and mixed forest,826
Human-associated biome [ENVO:01000219],825
human gut metagenome,825
waste water [ENVO:00002001],824
tropical rainforest,822
sea water (ENVO:00002149 ),822
fecal material[ENVO_00002003],822
organic matter,819
coastal water body [ENVO:02000049],818
gastrointestinal,817
woodland area [ENVO:00000109],817
murine,816
Ileo-caecum,815
mixed forest biome,814
lumen of vagina,813
intestinal environment,813
Activated Sludge [ENVO:00002046]|anaerobic digester sludge [ENVO:00003965]|Waste Water [ENVO:00002001],812
material[ENVO:00002003],812
Activated Sludge [ENVO:00002046]|anaerobic digester sludge [ENVO:00003965],812
Host,811
industrial wastewater,811
algae,811
Fermented grains,810
experimental field,809
Pellet,809
UBERON_0001988,809
ENVO:01000206,808
[ENVO:01000312],808
beach,808
alkaline hot spring [ENVO:00002119],807
warm temperate,807
Dairy farm,806
Breast Tissue,805
lower digestive tract [UBERON:0004907],805
Intestinal microbiota,802
Atlantic Forest,802
oil palm plantation [ENVO:00000120],801
grassland biome [ENVO:01000177],800
0,800
tropical biome [ENVO:01001830]|peatland [ENVO:00000044],800
Mammals,799
face skin environment,799
nasopharynxswabs,798
fecal biome,797
"microbiome,16S barcoded pyrosequencing",797
marine hydrothermal vent [ENVO:01000122],797
home,796
grasslands soil,795
Human body,795
Temperate grassland and shrubland biome,795
plant material,794
turf-grass,794
Temperate,793
food source,793
anaerobic digester | wastewater treatment plant,792
zoological garden [ENVO:00010625],792
human associated,791
bodily secretion,791
freshwater lake biom [ENVO:01000252],790
Microbiota,790
Subarctic grassland,790
river water [ENVO:01000599],789
mediterranean sea biome,789
hot spring biome,788
Root biome,788
animal facilities,787
Food fermentation microbiota,787
Anaerobic and solid-state,787
Fecal Swab,787
larva,786
marine environmental zone [ENVO:01001201],785
Agricultural ecosystem [ENVO:01001430],785
ENVO:01000763,785
sea water (ENVO:00002149),785
Backreef,784
rat,783
University Campus,782
multicellular animal,782
Jejunum,782
Field soil,782
"Full-scale, commercial biogas reactors",782
Biogas reactors,782
estuarine mud [ENVO:00002160],782
ENVO:01000024,780
plant microbiome,780
subtidal,780
experimental field location,779
algal material,779
Hot spring fluid,778
terrestrial biome[ENVO:00000446],778
terresterial biome,777
hospital ICU,777
Biogas reactor,777
mouse stool,776
[ENVO:01001029],776
animal-associated habitat [ENVO:00006776],774
colon [UBERON:0001155],773
Human microbioma,772
wheat field,772
Human milk,771
archeological site,770
organic material [ENVO:01000155],770
brackish water body (ENVO:01001321),770
human intestine,770
plant root,770
synthetic,769
ENVO:01000196,769
deep sea biome,768
Household,768
surface water layer (ENVO:00002042),768
potting mix,768
Taxid:9606,768
mine,767
ENVO:01000221: temperate woodland biome,766
ENVO:01000313,766
hot springs,766
subgingival crevice,766
ENVO_2100002:intestine environment,765
Global Total embryo culture medium,765
cell culture incubator,765
calf feces,764
Brackish lake sediment,764
UBEUBERON:0003729UBERON:0002424RON:0002424,764
UBERUBERON:0002424ON:0002424,764
ENVO:00000262,763
Brachypodium distachyon root,762
tropical grassland biome,760
"Fetal microbiome in placenta, amniotic fluid and meconium",759
temperate floodplain forest|Quercus robur,758
Preterm birth,757
Organic,757
ileum content,757
North-East Asia,754
nursery,754
Sealed jar in the lab,754
waterhole,753
Tropical Forest,753
Deep Atlantic Ocean,753
North shore fore reef 10 m depth,752
ENVO:00002001,752
not described,752
Tropical South Pacific Island Coral Reef,752
research facility[ENVO:00000469],751
biofilm materia[ENVO:01000156],751
Induced Sputum,750
City,749
Cheek,749
anthropised terrestrial environmental zone [ENVO:01001200],748
cage,748
mouse intestine,748
EFO:0007882,748
EFO:0011013,748
freshwater lake biome [ENVO:01000252],748
Bulk Soil,747
ENVO:insecta-associated habitat,747
botanical garden,746
Coastal Antarctic,745
tailings,744
Stool microbiome,744
saliva material [ENVO:02000036],744
mangrove biome [ENVO:01000181],743
animal,743
waste material,742
temperate floodplain forest|Corylus avellana,741
grasslands,741
ENVO:02000019,741
dust|||ceiling,740
Borreal forest,739
rural area [ENVO:01000772],739
seawater body,738
ENVO:01001406,738
Coastal water body,737
dust|||drywall,737
anthropogenic environmental material [ENVO:0010001],737
digestive_tract [UBERON_0001555 ],736
deep-sea hydrothermal deposit,736
human blood,736
photic zone,735
gastric mucosa,735
cropland_biome,734
UBERON:0005636,733
UBERON:0004111,733
surface community,733
seagrass in harbor,733
Infant Gut,732
manure,732
peatlands,731
continental shelf,730
Human intestine,729
plant litter,729
stream biome,729
PKLE,728
child,728
metal,728
not collected',727
oral opening,727
pond water,727
stream water,727
human respiratory tract,726
gut bacteria,725
Gut biome,725
Human_fecal sample,724
Oral Microbiome,724
fish gut biome,724
digestive-tract-environment,724
fecal environmentÊ[ENVO:01001029],724
ENVO:tropical broadleaf forest biome,723
deep marine sediment [ENVO:00002113],723
marine biome [ENVO:00000447] | polar biome [ENVO:01000339],723
FLOQ swab,723
ENVO:00000043,723
garden[ENVO:00000011]; field[ENVO:00000114],723
silage,723
Tropical rainforest,723
secondary forest,722
plant stem,722
rat gut,722
exposure to parasite,722
Marine mammal,722
alpine soil,721
Boreal,720
ENVO:01000250,720
Great Lakes,719
caeca,719
animal house,719
Mediterranean-based diet,718
terrestrial environmental zone [ENVO:01001199],718
dust|||carpet,716
Hot spring water,716
urban biome ENVO:01000249,715
Sea floor,714
"""e;N/A""",714
lake water [ENVO_04000007],714
inpatient_icu,714
Pinch biopsy,713
plant associated biome,713
Sigmoid mucosa,713
unkown,712
FFPE,712
human gut stool,711
Grass land,711
"Microbes, incubation experiment",710
drinking water biome,710
drinking water system building,710
deep sea sediment,709
large intestine [UBERON:0000059],709
temperate shrubland biome,709
intestine environment ENVO:2100002,708
bone marrow,708
anthropogenic_terrestrial_biome,707
insect,705
mock community,704
food fermentation metagenome,704
uterus,704
surface soil [ENVO:02000059],703
natural forest,703
depth of water [ENVO:3100031],703
mouth environment,701
area of developed space with medium usage intensity,701
contaminated water,700
animal gut,700
Sand,699
Human associated habitat,698
open water,698
boulders,697
glacier streams,697
shallow marine sediment,697
fjord,696
Biological Medium,695
ENVO:00000051,695
culture medium,694
skin environment [ENVO:2100003],694
groundwater microbiome,693
Mouth cavity,692
soil[ENVO:00001998],692
temperate floodplain forest|Carpinus betulus,691
Stool_microbiome,691
Mariana Trench sediment,691
forest understory,691
eelgrass,689
Europe,689
ENVO:anthropogenic environmental material,688
agriculture soil,686
desert biome,686
plant matter (ENVO:01001121),686
Fecal samples,685
food waste,685
environment associated with an animal part or small animal ENVO_01001055,685
temperate mixed forest,684
plasma,683
wastewater treatment plant [ENVO:00002043],682
holomictic lake [ENVO:01000285]|humic lake [ENVO:01001021]|anoxic lake [ENVO:01001072],682
gut mucosa,682
oral microbiome,681
Nasopharyngeal swab,681
murine-associated habitat,680
plastisphere biome,680
ENVO_00000077,679
ENVO:00000077,678
wastewater/sludge,678
cervix,677
ENVO:01001315|ENVO:01000301|ENVO:01000020,677
Duodenum,677
tree,676
Root [PO:0009005],675
ENVO:06105112,675
peat moss,675
Estuarine Biome,674
aquarium tank,672
Tailing,672
fermented food product,671
Airway,670
ENVO:00003064,670
sludge metagenome,670
temperate hardwood forest biome,669
plant phyllosphere,669
Temperate deciduous forest,669
tomato leaves,669
human faeces,669
organic farm plot,668
Throat swab,668
3000033,666
cultivated habitat,666
caecal,666
freshwater ecosystem [ENVO:01001789],665
UBERON:0000059,665
fen,664
animal host,663
influent wastewater,663
sea water (ENVO_00002149),661
UBERON:0001555,661
Northeast Shelf,660
ENVO:01000035,660
marine aquatic,660
meconium,660
mock,660
ENVO:01000922,659
PO:0006001,656
Pot experiment,656
Composite wastewater,655
environment associated with an animal part or small animal,654
viral particles,654
sludge(ENVO:00002044),653
Northen-Europe,653
Westernized healthy adult,652
thermophilic| wastewater treatment plant,651
Pacific North West,651
hydrothermal vent chimney sample,651
offshore sea water,651
hive,651
anthropogenic geographic feature,650
natural soil,650
alpine meadow,650
saliva [ENVO:02000036],650
temperate broadleaf forest biome [ENVO:01000202],649
Human reproductive system,649
humangut,649
apple root microbiome,648
maize field,648
Surface Water,648
skin biome,647
Seed,646
Coal mine,646
continental subsurface,645
breast milk,645
Swine,645
Grassland soil,644
mock community culture [ENVO:01001059],643
annual row crop field,643
Food production,642
Bioreactor,642
not appicable,642
seagrass biome,642
Unknown,642
taiga,641
Urban green space,641
biofilm [ENVO:00002034],641
Human milk microbioma,641
dense settlement biome [ENVO:ENVO:01000248]| uran biome [ENVO:ENVO:01000249],641
coffee field bordered by forest,640
stool samples,640
root tissue and rhizosphere soil,640
tropical premontane forest biome,640
segment,639
luminal contents,639
"faecal slurry, nutrient medium",639
Estuarine surface sediment,638
shoreline | intertidal zone | water current,638
temperate marginal sea biome [ENVO:01000856],637
[ENVO:00010483],637
Mediterranean woodland,637
[ENVO:00000446] terrestrial biome | [ENVO:01000219] anthropogenic terrestrial biome,637
[ENVO:01000245] cropland biome,637
cheese product,636
ENVO:010001405,636
aerobic granular sludge,635
empty control,635
litter,635
mesophotic coral community,634
rumen liquid,634
temperate grassland [ENVO_01001811],633
Lesional,633
hydrothermal vent field,632
BTO:0004789,632
hydrothermal vent,632
coastal seawater [ENVO:00002150],631
marine coral reef biome,631
pig manure,631
PCR-grade nuclease-free water DNA extraction,630
infant intestine,630
4907,630
nearshore beach samples,629
Area of cropland,629
human mouth,629
inland,629
Fresh water microbiome,629
Shoot,629
ENVO:01000418,628
coral_reef,627
corn field,627
Bulk soil [ENVO:00005802],626
deep subsurface,625
Non-lesional,625
epipelagic |sub-ice floe,623
Intestinal microbiome,623
Human Biome,623
river bank,623
mising,622
mouse feces [ENVO:01001029],622
Fjord,619
Pond,619
terrestial,617
lakewater,617
SOIL,616
ENVO:01000892,615
North temperate/southern boreal,615
Oligotrophic acidic Sphagnum peatland,615
bioreactor biome,615
laboratory/specific-pathogen-free mouse house,614
"ENVO:Temperate grasslands, savannas, and shrubland biome",613
brackish water,612
lower respiratory tract,612
Gut(UBERON:0001007),612
clinic,612
Colon(UBERON:0001155),612
Feces(UBERON:0001988),612
subtropical desert biome,612
Plateau,612
semi-arid soil,612
waste treatment plant [ENVO:00002272],612
subboreal forest,610
Gifu anaerobic broth media,610
antarctic,610
Human upper airway,610
Human blood,608
atmosphere,608
equine feces,608
mediterranean shrubland biome,608
Pine needle,608
organic material ENVO:01000155,608
[ENVO:0025034] leaf,607
natural grassland,606
subtropical grassland biome [ENVO:01000191]|subtropical woodland biome [ENVO:01000222],606
Raised bog,605
Cervical cytobrush samples,605
colon UBERON:0001155,605
Cervical intraepithelial neoplasia,605
environmental system determined by an organism,605
crystalline bedrock,605
cultured habitat,604
ENVO_00000447,604
Mouse stool,603
ENVO:00002011,603
cold,602
Human Associated Habitat,601
Pot,601
sandy,600
environment determined by a plant substance,600
diarrhoeal,599
Root-associated habitat,599
solitary bee nest,599
PO:0025034,596
ENVO:00000106,595
duodenum,595
Town,594
sand|mud,593
camel rumen,593
Nasopharynx,593
not applicabale,593
Mediterranean Sea Biome (ENVO - 01000047),593
indoor biome,593
human house,592
lake microbiome,592
ENVO_00002003:fecal material,592
Sup,592
dental calculus,591
Marine biome (ENVO_00000447),591
human skin epidermis,590
lung microbiome,590
deep pit,590
manure slurry,590
skin of manus [UBERON:0001519],590
Deep Mine Microbial Observatory,589
environmental system determined by an organism[ENVO_01001000]|animal-associated environment[ENVO_01001002],589
digestive tract[UBERON_0001555]|colon[UBERON_0001155],589
ocean [ENVO:00000015],589
ENVO:00002160,589
Uppar respiratory tract swab,588
human-associated metagenome,586
CSTR lab scale biogas reactor,585
genital,584
anatomical structure,584
marine photic zone [ENVO:00000209],584
temperate mixed forest biome,584
Rectal luminal content,583
River water,582
ENVO:01000197,582
humanized microbiota mouse fecal biome,582
Deep-sea,582
ENVO:00002042,582
ENVO:00001999,581
KBSM,581
human vagina,581
intestinal environment [ENVO:2100002],579
human_body,579
Rabbit�s gut microbiota sample,578
holdfast tissue,577
european soil,577
16S,577
animal-associated habitata,576
ENVO_01001002,576
polar microbiome,576
Deciduous Forest Soil,575
mouse biome,574
human associated habitat,574
midgut,574
room [ENVO:01000426],573
waste water treatment plant,572
marine subtidal rocky reef biome[ENVO:01000050],572
ENVO:00005755,571
agricultural field ENVO:00000114,570
crop growing in agricultural greenhouse pots,570
Vehicle_Control,570
proglacial,570
"mediterranean forests, woodlands, and shrub biome",569
nasopharnyx,568
marine metagenome,568
corn root soil,568
fecal material ENVO:00002003,568
Meadow,568
Leaf endosphere,567
Microbial DNA,567
Feces [UBERON:0001988],566
coastal zone,566
human fecal,566
Host associated microbiome,565
mine [ENVO: 00000076]|mine drainage [ENVO: 00001996],565
Small lake biome,563
sewage plant [ENVO:00003043],563
temperate floodplain forest|Quercus petraea,562
vaginal mucosa,562
coastal seawater [ENVO:00002150]|marine benthic biome [ENVO:01000024],562
coastal shrimp pond [ENVO:01001256],562
